Hour,Hour,ratio
0,,0.04428658786604787
1,,0.035343014072513466
2,,0.02991107581811585
3,,0.024714453347268645
4,,0.020802230069579493
5,,0.01862142727286321
6,,0.0200230908531417
7,,0.02322149668708431
8,,0.026741002319316434
9,,0.034555217753670806
10,,0.04904720717941372
11,,0.054375260204952966
12,,0.05495135101953121
13,,0.04860018589159891
14,,0.051965437699162544
15,,0.05130907193501192
16,,0.0499994884439488
17,,0.051164262222057826
18,,0.052423477117310824
19,,0.05562660500711063
20,,0.05345524632210875
21,,0.0498948162057809
22,,0.050075828346973515
23,,0.0488921663454357
